subset_size,node,data type,index_first_element,index_last_element,total_panics,subset
10,10,CURRENT_icmp_recv,118,127,8,"[139.0, 139.0, 139.0, 139.0, 143.0, 143.0, 143.0, 143.0, 143.0, 148.0]"
10,10,CURRENT_icmp_sent,118,127,8,"[126.0, 126.0, 126.0, 126.0, 128.0, 128.0, 128.0, 128.0, 128.0, 131.0]"
10,10,CURRENT_icmp_recv,31,40,8,"[46.0, 46.0, 46.0, 46.0, 46.0, 49.0, 49.0, 49.0, 49.0, 54.0]"
10,10,CURRENT_icmp_sent,31,40,8,"[67.0, 67.0, 67.0, 67.0, 67.0, 69.0, 69.0, 69.0, 69.0, 73.0]"
10,10,CURRENT_icmp_recv,57,66,8,"[74.0, 74.0, 74.0, 74.0, 74.0, 78.0, 78.0, 78.0, 78.0, 83.0]"
10,10,CURRENT_icmp_sent,57,66,8,"[84.0, 84.0, 84.0, 84.0, 84.0, 87.0, 87.0, 87.0, 87.0, 91.0]"
10,10,CURRENT_icmp_recv,92,101,8,"[111.0, 111.0, 111.0, 111.0, 115.0, 115.0, 115.0, 115.0, 115.0, 120.0]"
10,10,CURRENT_icmp_sent,92,101,8,"[108.0, 108.0, 108.0, 108.0, 110.0, 110.0, 110.0, 110.0, 110.0, 114.0]"
10,13,CURRENT_icmp_recv,136,145,6,"[161.0, 161.0, 161.0, 161.0, 161.0, 165.0, 165.0, 165.0, 165.0, 171.0]"
10,13,CURRENT_icmp_sent,136,145,6,"[180.0, 180.0, 180.0, 180.0, 180.0, 184.0, 184.0, 184.0, 184.0, 191.0]"
10,13,CURRENT_icmp_recv,45,54,6,"[68.0, 68.0, 68.0, 68.0, 72.0, 72.0, 72.0, 72.0, 72.0, 77.0]"
10,13,CURRENT_icmp_sent,45,54,6,"[79.0, 79.0, 79.0, 79.0, 82.0, 82.0, 82.0, 82.0, 82.0, 86.0]"
10,13,CURRENT_icmp_recv,58,67,6,"[81.0, 81.0, 81.0, 81.0, 85.0, 85.0, 85.0, 85.0, 85.0, 90.0]"
10,13,CURRENT_icmp_sent,58,67,6,"[93.0, 93.0, 93.0, 93.0, 97.0, 97.0, 97.0, 97.0, 97.0, 103.0]"
10,3,CURRENT_icmp_recv,121,130,14,"[332.0, 332.0, 332.0, 332.0, 340.0, 340.0, 340.0, 340.0, 340.0, 350.0]"
10,3,CURRENT_icmp_sent,121,130,14,"[381.0, 381.0, 381.0, 381.0, 388.0, 388.0, 388.0, 388.0, 388.0, 398.0]"
10,3,CURRENT_icmp_recv,125,134,14,"[340.0, 340.0, 340.0, 340.0, 340.0, 350.0, 350.0, 350.0, 350.0, 362.0]"
10,3,CURRENT_icmp_sent,125,134,14,"[388.0, 388.0, 388.0, 388.0, 388.0, 398.0, 398.0, 398.0, 398.0, 414.0]"
10,3,CURRENT_icmp_recv,134,143,14,"[362.0, 362.0, 362.0, 362.0, 370.0, 370.0, 370.0, 370.0, 370.0, 380.0]"
10,3,CURRENT_icmp_sent,134,143,14,"[414.0, 414.0, 414.0, 414.0, 421.0, 421.0, 421.0, 421.0, 421.0, 431.0]"
10,3,CURRENT_icmp_recv,17,26,14,"[83.0, 83.0, 83.0, 83.0, 92.0, 92.0, 92.0, 92.0, 92.0, 104.0]"
10,3,CURRENT_icmp_sent,17,26,14,"[119.0, 119.0, 119.0, 119.0, 127.0, 127.0, 127.0, 127.0, 127.0, 139.0]"
10,3,CURRENT_icmp_recv,47,56,14,"[158.0, 158.0, 158.0, 158.0, 158.0, 166.0, 166.0, 166.0, 166.0, 178.0]"
10,3,CURRENT_icmp_sent,47,56,14,"[198.0, 198.0, 198.0, 198.0, 198.0, 205.0, 205.0, 205.0, 205.0, 218.0]"
10,3,CURRENT_icmp_recv,60,69,14,"[188.0, 188.0, 188.0, 188.0, 188.0, 198.0, 198.0, 198.0, 198.0, 211.0]"
10,3,CURRENT_icmp_sent,60,69,14,"[229.0, 229.0, 229.0, 229.0, 229.0, 239.0, 239.0, 239.0, 239.0, 251.0]"
10,3,CURRENT_icmp_recv,95,104,14,"[272.0, 272.0, 272.0, 272.0, 281.0, 281.0, 281.0, 281.0, 281.0, 293.0]"
10,3,CURRENT_icmp_sent,95,104,14,"[314.0, 314.0, 314.0, 314.0, 324.0, 324.0, 324.0, 324.0, 324.0, 338.0]"
10,4,CURRENT_icmp_recv,119,128,8,"[115.0, 115.0, 115.0, 115.0, 115.0, 117.0, 117.0, 117.0, 117.0, 121.0]"
10,4,CURRENT_icmp_sent,119,128,8,"[158.0, 158.0, 158.0, 158.0, 158.0, 161.0, 161.0, 161.0, 161.0, 165.0]"
10,4,CURRENT_icmp_recv,132,141,8,"[126.0, 126.0, 126.0, 126.0, 126.0, 129.0, 129.0, 129.0, 129.0, 134.0]"
10,4,CURRENT_icmp_sent,132,141,8,"[170.0, 170.0, 170.0, 170.0, 170.0, 172.0, 172.0, 172.0, 172.0, 183.0]"
10,4,CURRENT_icmp_recv,28,37,8,"[41.0, 41.0, 41.0, 41.0, 41.0, 44.0, 44.0, 44.0, 44.0, 48.0]"
10,4,CURRENT_icmp_sent,28,37,8,"[71.0, 71.0, 71.0, 71.0, 71.0, 73.0, 73.0, 73.0, 73.0, 77.0]"
10,4,CURRENT_icmp_recv,93,102,8,"[94.0, 94.0, 94.0, 94.0, 94.0, 97.0, 97.0, 97.0, 97.0, 102.0]"
10,4,CURRENT_icmp_sent,93,102,8,"[131.0, 131.0, 131.0, 131.0, 131.0, 134.0, 134.0, 134.0, 134.0, 141.0]"
10,5,CURRENT_icmp_recv,143,152,8,"[319.0, 319.0, 319.0, 319.0, 319.0, 325.0, 325.0, 325.0, 325.0, 332.0]"
10,5,CURRENT_icmp_sent,143,152,8,"[296.0, 296.0, 296.0, 296.0, 296.0, 301.0, 301.0, 301.0, 301.0, 308.0]"
