outlier_no,subset_size,subset,node,data type,index_first_element,index_last_element,outlier_score,acceptable_deviation,value_to_check,min_value,max_value
1,7,"[20.0, 20.0, 23.0, 23.0, 23.0, 23.0, 28.0]",10,CURRENT_icmp_recv,8,14,1.224744871391589,4.898979485566357,28.0,17.101020514433642,26.898979485566358
2,7,"[28.0, 31.0, 31.0, 31.0, 31.0, 31.0, 35.0]",10,CURRENT_icmp_recv,17,23,1.161895003862225,3.8729833462074166,35.0,26.627016653792584,34.37298334620742
3,7,"[31.0, 31.0, 35.0, 35.0, 35.0, 35.0, 41.0]",10,CURRENT_icmp_recv,21,27,1.1226827987756236,6.531972647421808,41.0,27.134694019244854,40.198639314088474
4,7,"[46.0, 46.0, 49.0, 49.0, 49.0, 49.0, 54.0]",10,CURRENT_icmp_recv,34,40,1.224744871391589,4.898979485566357,54.0,43.10102051443364,52.89897948556636
5,7,"[49.0, 49.0, 54.0, 54.0, 54.0, 54.0, 61.0]",10,CURRENT_icmp_recv,38,44,1.0614455552060436,8.16496580927726,61.0,44.16836752405607,60.4982991426106
6,7,"[61.0, 61.0, 64.0, 64.0, 64.0, 64.0, 68.0]",10,CURRENT_icmp_recv,47,53,1.0206207261596574,4.898979485566357,68.0,58.10102051443364,67.89897948556636
7,7,"[64.0, 64.0, 68.0, 68.0, 68.0, 68.0, 74.0]",10,CURRENT_icmp_recv,51,57,1.1226827987756225,6.531972647421808,74.0,60.13469401924486,73.19863931408848
8,7,"[83.0, 86.0, 86.0, 86.0, 86.0, 86.0, 90.0]",10,CURRENT_icmp_recv,69,75,1.161895003862225,3.8729833462074166,90.0,81.62701665379258,89.37298334620742
9,7,"[95.0, 99.0, 99.0, 99.0, 99.0, 99.0, 104.0]",10,CURRENT_icmp_recv,82,88,1.0973452814254356,5.163977794943222,104.0,93.1693555383901,103.49731112827655
10,7,"[99.0, 99.0, 104.0, 104.0, 104.0, 104.0, 111.0]",10,CURRENT_icmp_recv,86,92,1.0614455552060444,8.16496580927726,111.0,94.16836752405607,110.49829914261059
11,7,"[111.0, 115.0, 115.0, 115.0, 115.0, 115.0, 120.0]",10,CURRENT_icmp_recv,95,101,1.0973452814254356,5.163977794943222,120.0,109.1693555383901,119.49731112827655
12,7,"[120.0, 120.0, 123.0, 123.0, 123.0, 123.0, 128.0]",10,CURRENT_icmp_recv,103,109,1.224744871391589,4.898979485566357,128.0,117.10102051443364,126.89897948556636
13,7,"[123.0, 128.0, 128.0, 128.0, 128.0, 128.0, 134.0]",10,CURRENT_icmp_recv,108,114,1.05861544796336,6.454972243679028,134.0,120.71169442298765,133.6216389103457
14,7,"[139.0, 143.0, 143.0, 143.0, 143.0, 143.0, 148.0]",10,CURRENT_icmp_recv,121,127,1.097345281425433,5.163977794943222,148.0,137.1693555383901,147.49731112827658
15,7,"[153.0, 158.0, 158.0, 158.0, 158.0, 158.0, 170.0]",10,CURRENT_icmp_recv,134,140,1.988131451053142,6.454972243679029,170.0,150.71169442298762,163.6216389103457
16,7,"[34.0, 34.0, 38.0, 38.0, 38.0, 38.0, 44.0]",10,CURRENT_icmp_sent,8,14,1.1226827987756236,6.531972647421808,44.0,30.134694019244854,43.198639314088474
17,7,"[67.0, 67.0, 69.0, 69.0, 69.0, 69.0, 73.0]",10,CURRENT_icmp_sent,34,40,1.428869016623522,3.265986323710904,73.0,65.06734700962242,71.59931965704423
18,7,"[84.0, 84.0, 87.0, 87.0, 87.0, 87.0, 91.0]",10,CURRENT_icmp_sent,60,66,1.0206207261596574,4.898979485566357,91.0,81.10102051443364,90.89897948556636
