subset_size,node,data type,index_first_element,index_last_element,total_panics,subset
8,10,CURRENT_icmp_recv,33,40,1,"[46.0, 46.0, 46.0, 49.0, 49.0, 49.0, 49.0, 54.0]"
8,10,CURRENT_icmp_sent,33,40,1,"[67.0, 67.0, 67.0, 69.0, 69.0, 69.0, 69.0, 73.0]"
8,13,CURRENT_icmp_recv,107,114,4,"[129.0, 129.0, 129.0, 133.0, 133.0, 133.0, 133.0, 139.0]"
8,13,CURRENT_icmp_sent,107,114,4,"[148.0, 148.0, 148.0, 151.0, 151.0, 151.0, 151.0, 159.0]"
8,13,CURRENT_icmp_recv,138,145,4,"[161.0, 161.0, 161.0, 165.0, 165.0, 165.0, 165.0, 171.0]"
8,13,CURRENT_icmp_sent,138,145,4,"[180.0, 180.0, 180.0, 184.0, 184.0, 184.0, 184.0, 191.0]"
8,13,CURRENT_icmp_recv,16,23,4,"[38.0, 38.0, 38.0, 41.0, 41.0, 41.0, 41.0, 47.0]"
8,13,CURRENT_icmp_sent,16,23,4,"[44.0, 44.0, 44.0, 48.0, 48.0, 48.0, 48.0, 54.0]"
8,13,CURRENT_icmp_recv,8,15,4,"[28.0, 28.0, 32.0, 32.0, 32.0, 32.0, 32.0, 38.0]"
8,13,CURRENT_icmp_sent,8,15,4,"[33.0, 33.0, 37.0, 37.0, 37.0, 37.0, 37.0, 44.0]"
8,3,CURRENT_icmp_recv,105,112,4,"[293.0, 293.0, 293.0, 299.0, 299.0, 299.0, 299.0, 310.0]"
8,3,CURRENT_icmp_sent,105,112,4,"[338.0, 338.0, 338.0, 344.0, 344.0, 344.0, 344.0, 356.0]"
8,3,CURRENT_icmp_recv,19,26,4,"[83.0, 83.0, 92.0, 92.0, 92.0, 92.0, 92.0, 104.0]"
8,3,CURRENT_icmp_sent,19,26,4,"[119.0, 119.0, 127.0, 127.0, 127.0, 127.0, 127.0, 139.0]"
8,3,CURRENT_icmp_recv,49,56,4,"[158.0, 158.0, 158.0, 166.0, 166.0, 166.0, 166.0, 178.0]"
8,3,CURRENT_icmp_sent,49,56,4,"[198.0, 198.0, 198.0, 205.0, 205.0, 205.0, 205.0, 218.0]"
8,3,CURRENT_icmp_recv,97,104,4,"[272.0, 272.0, 281.0, 281.0, 281.0, 281.0, 281.0, 293.0]"
8,3,CURRENT_icmp_sent,97,104,4,"[314.0, 314.0, 324.0, 324.0, 324.0, 324.0, 324.0, 338.0]"
8,4,CURRENT_icmp_recv,121,128,5,"[115.0, 115.0, 115.0, 117.0, 117.0, 117.0, 117.0, 121.0]"
8,4,CURRENT_icmp_sent,121,128,5,"[158.0, 158.0, 158.0, 161.0, 161.0, 161.0, 161.0, 165.0]"
8,4,CURRENT_icmp_recv,134,141,5,"[126.0, 126.0, 126.0, 129.0, 129.0, 129.0, 129.0, 134.0]"
8,4,CURRENT_icmp_sent,134,141,5,"[170.0, 170.0, 170.0, 172.0, 172.0, 172.0, 172.0, 183.0]"
8,4,CURRENT_icmp_recv,30,37,5,"[41.0, 41.0, 41.0, 44.0, 44.0, 44.0, 44.0, 48.0]"
8,4,CURRENT_icmp_sent,30,37,5,"[71.0, 71.0, 71.0, 73.0, 73.0, 73.0, 73.0, 77.0]"
8,4,CURRENT_icmp_recv,60,67,5,"[66.0, 66.0, 66.0, 69.0, 69.0, 69.0, 69.0, 73.0]"
8,4,CURRENT_icmp_sent,60,67,5,"[100.0, 100.0, 100.0, 102.0, 102.0, 102.0, 102.0, 107.0]"
8,4,CURRENT_icmp_recv,95,102,5,"[94.0, 94.0, 94.0, 97.0, 97.0, 97.0, 97.0, 102.0]"
8,4,CURRENT_icmp_sent,95,102,5,"[131.0, 131.0, 131.0, 134.0, 134.0, 134.0, 134.0, 141.0]"
8,5,CURRENT_icmp_recv,127,134,5,"[285.0, 285.0, 285.0, 292.0, 292.0, 292.0, 292.0, 303.0]"
8,5,CURRENT_icmp_sent,127,134,5,"[264.0, 264.0, 264.0, 270.0, 270.0, 270.0, 270.0, 279.0]"
8,5,CURRENT_icmp_recv,19,26,5,"[69.0, 69.0, 74.0, 74.0, 74.0, 74.0, 74.0, 83.0]"
8,5,CURRENT_icmp_sent,19,26,5,"[94.0, 94.0, 97.0, 97.0, 97.0, 97.0, 97.0, 104.0]"
8,5,CURRENT_icmp_recv,36,43,5,"[104.0, 104.0, 104.0, 110.0, 110.0, 110.0, 110.0, 121.0]"
