outlier_no,subset_size,subset,node,data type,index_first_element,index_last_element,outlier_score,acceptable_deviation,value_to_check,min_value,max_value
38,6,"[22.0, 25.0, 25.0, 25.0, 25.0, 31.0]",2,CURRENT_icmp_recv,10,15,1.5556349186104046,4.242640687119286,31.0,20.157359312880715,28.642640687119282
39,6,"[51.0, 54.0, 54.0, 54.0, 54.0, 58.0]",2,CURRENT_icmp_recv,40,45,1.084230397819373,4.242640687119286,58.0,49.157359312880715,57.64264068711928
40,6,"[58.0, 61.0, 61.0, 61.0, 61.0, 67.0]",2,CURRENT_icmp_recv,49,54,1.5556349186104046,4.242640687119286,67.0,56.157359312880715,64.64264068711928
41,6,"[83.0, 86.0, 86.0, 86.0, 86.0, 91.0]",2,CURRENT_icmp_recv,79,84,1.3199326582148871,4.242640687119286,91.0,81.15735931288071,89.6426406871193
42,6,"[96.0, 99.0, 99.0, 99.0, 99.0, 104.0]",2,CURRENT_icmp_recv,92,97,1.3199326582148871,4.242640687119286,104.0,94.15735931288071,102.6426406871193
43,6,"[138.0, 141.0, 141.0, 141.0, 141.0, 145.0]",2,CURRENT_icmp_recv,140,145,1.0842303978193715,4.242640687119286,145.0,136.15735931288071,144.6426406871193
44,6,"[158.0, 166.0, 166.0, 166.0, 166.0, 178.0]",3,CURRENT_icmp_recv,51,56,1.2020815280171302,11.313708498984761,178.0,153.08629150101524,175.71370849898477
45,6,"[188.0, 198.0, 198.0, 198.0, 198.0, 211.0]",3,CURRENT_icmp_recv,64,69,1.0606601717798212,14.142135623730953,211.0,181.85786437626905,210.14213562373095
46,6,"[293.0, 299.0, 299.0, 299.0, 299.0, 310.0]",3,CURRENT_icmp_recv,107,112,1.4377837884126452,8.485281374238571,310.0,289.31471862576143,306.2852813742386
47,6,"[165.0, 174.0, 174.0, 174.0, 174.0, 188.0]",3,CURRENT_icmp_sent,38,43,1.241365238083051,12.727922061357855,188.0,159.47207793864214,184.92792206135783
48,6,"[198.0, 205.0, 205.0, 205.0, 205.0, 218.0]",3,CURRENT_icmp_sent,51,56,1.454619664155184,9.899494936611665,218.0,193.70050506338833,213.49949493661165
49,6,"[271.0, 279.0, 279.0, 279.0, 279.0, 290.0]",3,CURRENT_icmp_sent,81,86,1.1136931803688144,11.313708498984761,290.0,266.08629150101524,288.7137084989847
50,6,"[338.0, 344.0, 344.0, 344.0, 344.0, 356.0]",3,CURRENT_icmp_sent,107,112,1.555634918610403,8.485281374238571,356.0,334.31471862576143,351.2852813742386
51,6,"[388.0, 398.0, 398.0, 398.0, 398.0, 414.0]",3,CURRENT_icmp_sent,129,134,1.2727922061357853,14.142135623730953,414.0,381.85786437626905,410.14213562373095
52,6,"[421.0, 431.0, 431.0, 431.0, 431.0, 444.0]",3,CURRENT_icmp_sent,142,147,1.0606601717798212,14.142135623730953,444.0,414.85786437626905,443.14213562373095
53,6,"[41.0, 44.0, 44.0, 44.0, 44.0, 48.0]",4,CURRENT_icmp_recv,32,37,1.084230397819373,4.242640687119286,48.0,39.157359312880715,47.64264068711928
54,6,"[44.0, 48.0, 48.0, 48.0, 48.0, 53.0]",4,CURRENT_icmp_recv,36,41,1.0253048327204934,5.656854249492381,53.0,41.54314575050762,52.856854249492386
55,6,"[66.0, 69.0, 69.0, 69.0, 69.0, 73.0]",4,CURRENT_icmp_recv,62,67,1.0842303978193715,4.242640687119286,73.0,64.15735931288071,72.6426406871193
56,6,"[94.0, 97.0, 97.0, 97.0, 97.0, 102.0]",4,CURRENT_icmp_recv,97,102,1.3199326582148871,4.242640687119286,102.0,92.15735931288071,100.6426406871193
57,6,"[108.0, 111.0, 111.0, 111.0, 111.0, 115.0]",4,CURRENT_icmp_recv,114,119,1.0842303978193715,4.242640687119286,115.0,106.15735931288071,114.6426406871193
58,6,"[117.0, 121.0, 121.0, 121.0, 121.0, 126.0]",4,CURRENT_icmp_recv,127,132,1.0253048327204934,5.656854249492381,126.0,114.54314575050762,125.85685424949239
59,6,"[126.0, 129.0, 129.0, 129.0, 129.0, 134.0]",4,CURRENT_icmp_recv,136,141,1.3199326582148871,4.242640687119286,134.0,124.15735931288071,132.6426406871193
