outlier_no,subset_size,subset,node,data type,index_first_element,index_last_element
1,3,"[4, 7, 7]",10 R,CURRENT_icmp_recv,3,5
2,3,"[4, 7, 7]",10 R,CURRENT_icmp_recv,4,6
3,3,"[3, 7, 7]",10 R,CURRENT_icmp_recv,5,7
4,3,"[4, 5, 5]",10 R,CURRENT_icmp_recv,8,10
5,3,"[4, 4, 5]",10 R,CURRENT_icmp_recv,9,11
6,3,"[4, 4, 5]",10 R,CURRENT_icmp_recv,10,12
7,3,"[4, 4, 8]",10 R,CURRENT_icmp_recv,11,13
8,3,"[4, 6, 6]",10 R,CURRENT_icmp_recv,15,17
9,3,"[3, 6, 6]",10 R,CURRENT_icmp_recv,16,18
10,3,"[4, 5, 5]",10 R,CURRENT_icmp_recv,21,23
11,3,"[4, 5, 5]",10 R,CURRENT_icmp_recv,22,24
12,3,"[3, 5, 5]",10 R,CURRENT_icmp_recv,23,25
13,3,"[3, 5, 5]",10 R,CURRENT_icmp_recv,27,29
14,3,"[4, 4, 6]",10 R,CURRENT_icmp_recv,30,32
15,3,"[4, 4, 5]",10 R,CURRENT_icmp_recv,31,33
16,3,"[4, 5, 5]",10 R,CURRENT_icmp_recv,32,34
17,3,"[5, 5, 7]",10 R,CURRENT_icmp_recv,33,35
18,3,"[5, 8, 8]",10 R,CURRENT_icmp_sent,8,10
19,3,"[5, 5, 8]",10 R,CURRENT_icmp_sent,9,11
20,3,"[6, 6, 8]",10 R,CURRENT_icmp_sent,12,14
21,3,"[6, 6, 8]",10 R,CURRENT_icmp_sent,13,15
22,3,"[6, 6, 7]",10 R,CURRENT_icmp_sent,14,16
23,3,"[6, 6, 8]",10 R,CURRENT_icmp_sent,20,22
24,3,"[6, 6, 9]",10 R,CURRENT_icmp_sent,21,23
25,3,"[6, 6, 9]",10 R,CURRENT_icmp_sent,22,24
26,3,"[5, 8, 8]",10 R,CURRENT_icmp_sent,27,29
27,3,"[6, 6, 7]",10 R,CURRENT_icmp_sent,30,32
28,3,"[6, 6, 7]",10 R,CURRENT_icmp_sent,31,33
29,3,"[6, 6, 7]",10 R,CURRENT_icmp_sent,32,34
30,3,"[2, 3, 3]",11 R,CURRENT_icmp_recv,3,5
31,3,"[3, 3, 4]",11 R,CURRENT_icmp_recv,5,7
32,3,"[2, 2, 3]",11 R,CURRENT_icmp_recv,8,10
33,3,"[2, 2, 3]",11 R,CURRENT_icmp_recv,9,11
34,3,"[2, 2, 4]",11 R,CURRENT_icmp_recv,10,12
35,3,"[2, 3, 3]",11 R,CURRENT_icmp_recv,13,15
36,3,"[2, 2, 3]",11 R,CURRENT_icmp_recv,14,16
37,3,"[2, 2, 3]",11 R,CURRENT_icmp_recv,15,17
38,3,"[2, 2, 3]",11 R,CURRENT_icmp_recv,16,18
39,3,"[3, 3, 4]",11 R,CURRENT_icmp_recv,21,23
40,3,"[2, 3, 3]",11 R,CURRENT_icmp_recv,23,25
41,3,"[2, 3, 3]",11 R,CURRENT_icmp_recv,24,26
42,3,"[2, 3, 3]",11 R,CURRENT_icmp_recv,26,28
43,3,"[2, 3, 3]",11 R,CURRENT_icmp_recv,27,29
44,3,"[2, 2, 3]",11 R,CURRENT_icmp_recv,28,30
45,3,"[2, 3, 3]",11 R,CURRENT_icmp_recv,29,31
46,3,"[2, 2, 3]",11 R,CURRENT_icmp_recv,30,32
47,3,"[3, 3, 4]",11 R,CURRENT_icmp_recv,33,35
48,3,"[3, 5, 5]",11 R,CURRENT_icmp_sent,3,5
49,3,"[4, 4, 5]",11 R,CURRENT_icmp_sent,8,10
50,3,"[3, 4, 4]",11 R,CURRENT_icmp_sent,9,11
51,3,"[3, 3, 4]",11 R,CURRENT_icmp_sent,10,12
52,3,"[3, 3, 4]",11 R,CURRENT_icmp_sent,11,13
53,3,"[3, 4, 4]",11 R,CURRENT_icmp_sent,12,14
54,3,"[4, 4, 5]",11 R,CURRENT_icmp_sent,14,16
55,3,"[3, 3, 5]",11 R,CURRENT_icmp_sent,16,18
56,3,"[3, 3, 4]",11 R,CURRENT_icmp_sent,17,19
57,3,"[3, 4, 4]",11 R,CURRENT_icmp_sent,18,20
58,3,"[2, 4, 4]",11 R,CURRENT_icmp_sent,19,21
59,3,"[2, 4, 4]",11 R,CURRENT_icmp_sent,20,22
60,3,"[2, 4, 4]",11 R,CURRENT_icmp_sent,21,23
61,3,"[2, 4, 4]",11 R,CURRENT_icmp_sent,22,24
62,3,"[2, 4, 4]",11 R,CURRENT_icmp_sent,23,25
63,3,"[2, 4, 4]",11 R,CURRENT_icmp_sent,24,26
64,3,"[3, 4, 4]",11 R,CURRENT_icmp_sent,26,28
65,3,"[3, 3, 4]",11 R,CURRENT_icmp_sent,27,29
66,3,"[3, 3, 4]",11 R,CURRENT_icmp_sent,28,30
67,3,"[3, 4, 4]",11 R,CURRENT_icmp_sent,29,31
68,3,"[3, 4, 4]",11 R,CURRENT_icmp_sent,30,32
69,3,"[3, 3, 4]",11 R,CURRENT_icmp_sent,31,33
70,3,"[3, 3, 4]",11 R,CURRENT_icmp_sent,32,34
71,3,"[7, 8, 8]",12 R,CURRENT_icmp_recv,3,5
72,3,"[5, 5, 8]",12 R,CURRENT_icmp_recv,7,9
73,3,"[5, 5, 6]",12 R,CURRENT_icmp_recv,9,11
74,3,"[5, 6, 6]",12 R,CURRENT_icmp_recv,10,12
75,3,"[5, 5, 8]",12 R,CURRENT_icmp_recv,16,18
76,3,"[5, 5, 8]",12 R,CURRENT_icmp_recv,17,19
77,3,"[4, 7, 7]",12 R,CURRENT_icmp_recv,20,22
78,3,"[5, 8, 8]",12 R,CURRENT_icmp_recv,25,27
79,3,"[5, 8, 8]",12 R,CURRENT_icmp_recv,26,28
80,3,"[3, 4, 4]",12 R,CURRENT_icmp_sent,3,5
81,3,"[3, 4, 4]",12 R,CURRENT_icmp_sent,5,7
82,3,"[3, 4, 4]",12 R,CURRENT_icmp_sent,6,8
83,3,"[2, 4, 4]",12 R,CURRENT_icmp_sent,8,10
84,3,"[2, 2, 4]",12 R,CURRENT_icmp_sent,9,11
85,3,"[2, 4, 4]",12 R,CURRENT_icmp_sent,10,12
